router,metric,point_estimate,ci_low,ci_high,n_tasks
Aurelio Semantic Router (live),success_rate,0.1600,0.0400,0.3200,25
Aurelio Semantic Router (live),cost_per_task,0.0472,0.0289,0.0749,25
Aurelio Semantic Router (live),cost_per_success,0.2951,0.1268,1.4457,25
LiteLLM Router (live),success_rate,0.1200,0.0000,0.2400,25
LiteLLM Router (live),cost_per_task,0.0029,0.0015,0.0046,25
LiteLLM Router (live),cost_per_success,0.0243,0.0079,inf,25
RouteLLM (live),success_rate,0.1600,0.0400,0.3200,25
RouteLLM (live),cost_per_task,0.0023,0.0012,0.0037,25
RouteLLM (live),cost_per_success,0.0143,0.0054,0.0727,25
vLLM Semantic Router (live),success_rate,0.1200,0.0000,0.2400,25
vLLM Semantic Router (live),cost_per_task,0.0354,0.0167,0.0611,25
vLLM Semantic Router (live),cost_per_success,0.2946,0.0858,inf,25
