router_name,benchmark_name,task_id,domain,difficulty,trial,selected_candidate,confidence,fallback_used,success,tool_call_required,tool_call_correct,cost_usd,latency_ms,router_decision_latency_ms
LiteLLM Router (live),tau2-bench (live),tau2-0,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00580805,49651.58231300302,2.060105005512014
LiteLLM Router (live),tau2-bench (live),tau2-1,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.0038625000000000005,39300.482224993175,1.1874469928443432
LiteLLM Router (live),tau2-bench (live),tau2-2,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.00451934,37678.8163339952,1.1774380109272897
LiteLLM Router (live),tau2-bench (live),tau2-3,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00464599,44548.13713699696,1.9244470167905092
LiteLLM Router (live),tau2-bench (live),tau2-4,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.00507895,41463.61889198306,1.9826279894914478
LiteLLM Router (live),tau2-bench (live),tau2-5,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00673251,59058.58002501191,2.1428890177048743
LiteLLM Router (live),tau2-bench (live),tau2-6,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00538239,45057.92788800318,1.7369989946018904
LiteLLM Router (live),tau2-bench (live),tau2-7,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0049705500000000015,47337.77723700041,1.8115690036211163
LiteLLM Router (live),tau2-bench (live),tau2-8,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00556679,50928.34321199916,1.912589999847114
LiteLLM Router (live),tau2-bench (live),tau2-9,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.004926870000000001,43428.084581013536,1.0853300045710057
LiteLLM Router (live),tau2-bench (live),tau2-10,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00433589,42715.54988800199,1.0673010256141424
LiteLLM Router (live),tau2-bench (live),tau2-11,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0037633799999999998,32656.863999989582,1.9278019899502397
LiteLLM Router (live),tau2-bench (live),tau2-12,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00384091,36532.28430901072,1.8049520149361342
LiteLLM Router (live),tau2-bench (live),tau2-13,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00382907,42129.66016199789,1.0842009796760976
LiteLLM Router (live),tau2-bench (live),tau2-14,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00317697,31214.549565018388,1.6262520221062005
LiteLLM Router (live),tau2-bench (live),tau2-15,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0034155200000000004,32949.17257700581,1.7841720255091786
LiteLLM Router (live),tau2-bench (live),tau2-16,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00373471,36172.71663999418,1.8087619973812252
LiteLLM Router (live),tau2-bench (live),tau2-17,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00178086,18817.97189998906,1.6451120027340949
LiteLLM Router (live),tau2-bench (live),tau2-18,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00491188,38833.19816199946,1.855423004599288
LiteLLM Router (live),tau2-bench (live),tau2-19,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.01007924,85089.78693000972,1.074181986041367
LiteLLM Router (live),tau2-bench (live),tau2-20,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00774837,47983.90354402363,1.883552991785109
LiteLLM Router (live),tau2-bench (live),tau2-21,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.007631380000000001,72209.75252901553,1.1456919892225415
LiteLLM Router (live),tau2-bench (live),tau2-22,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.00439883,41585.410043015145,1.8517239950597286
LiteLLM Router (live),tau2-bench (live),tau2-23,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.00796968,55918.30762301106,1.4994929952081293
LiteLLM Router (live),tau2-bench (live),tau2-24,multi_turn_policy,0.25,0,cheap-small,1.0,False,False,True,False,0.00460365,58559.465458005434,1.6540229844395071
LiteLLM Router (live),tau2-bench (live),tau2-25,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0042003399999999995,40203.95405599265,1.1431919992901385
LiteLLM Router (live),tau2-bench (live),tau2-26,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0032238600000000003,31896.434738999233,1.6548139974474907
LiteLLM Router (live),tau2-bench (live),tau2-27,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.007468829999999998,53498.15945699811,1.9769140053540468
LiteLLM Router (live),tau2-bench (live),tau2-28,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.00806138,52298.20834798738,1.9090739951934665
LiteLLM Router (live),tau2-bench (live),tau2-29,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.008351289999999999,69800.35922498791,1.1894529743585736
LiteLLM Router (live),tau2-bench (live),tau2-30,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.008365820000000001,64559.238560002996,2.006015012739226
LiteLLM Router (live),tau2-bench (live),tau2-31,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.004074540000000001,33191.83124799747,1.10679300269112
LiteLLM Router (live),tau2-bench (live),tau2-32,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.006833,65251.60000700271,1.9652149931062013
LiteLLM Router (live),tau2-bench (live),tau2-33,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.005836040000000001,58178.36050799815,3.011797001818195
LiteLLM Router (live),tau2-bench (live),tau2-34,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.004499390000000001,55119.872556999326,2.0342450006864965
LiteLLM Router (live),tau2-bench (live),tau2-35,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00698188,59188.22315800935,1.8433339719194919
LiteLLM Router (live),tau2-bench (live),tau2-36,multi_turn_policy,0.4,0,cheap-small,1.0,False,False,True,False,0.00438224,48885.8104099927,1.9371850066818297
LiteLLM Router (live),tau2-bench (live),tau2-37,multi_turn_policy,0.85,0,cheap-small,1.0,False,True,True,True,0.00765325,53544.20153601677,1.1360780044924468
LiteLLM Router (live),tau2-bench (live),tau2-38,multi_turn_policy,0.85,0,cheap-small,1.0,False,False,True,False,0.0036296000000000006,36638.55146401329,1.7475119966547936
LiteLLM Router (live),tau2-bench (live),tau2-39,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00454434,59397.573922004085,1.9372229871805757
LiteLLM Router (live),tau2-bench (live),tau2-40,multi_turn_policy,0.85,0,cheap-small,1.0,False,True,True,True,0.0041658,49148.776997986715,1.106456998968497
LiteLLM Router (live),tau2-bench (live),tau2-41,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00630615,50769.45338601945,1.683190988842398
LiteLLM Router (live),tau2-bench (live),tau2-42,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0063917900000000005,59861.50444098166,1.8898209964390844
LiteLLM Router (live),tau2-bench (live),tau2-43,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00477803,77365.62298799981,1.8565999926067889
LiteLLM Router (live),tau2-bench (live),tau2-44,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0032934699999999997,33273.66744799656,1.8047390040010214
LiteLLM Router (live),tau2-bench (live),tau2-45,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00467384,47501.05251002242,1.144906011177227
LiteLLM Router (live),tau2-bench (live),tau2-46,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00435442,50980.82408201299,1.9572299788706005
LiteLLM Router (live),tau2-bench (live),tau2-47,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.004149519999999999,47826.69466099469,1.9015789730474353
LiteLLM Router (live),tau2-bench (live),tau2-48,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00378364,52747.495366988005,1.0726749897003174
LiteLLM Router (live),tau2-bench (live),tau2-49,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.0052213500000000005,39903.570231981575,1.8828190222848207
LiteLLM Router (live),tau2-bench (live),tau2-50,multi_turn_policy,0.4,0,cheap-small,1.0,False,True,True,True,0.0020843,32054.956847976428,1.8105279887095094
LiteLLM Router (live),tau2-bench (live),tau2-51,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.0022927399999999997,31755.94927300699,1.0821850155480206
LiteLLM Router (live),tau2-bench (live),tau2-52,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00540531,63553.6052279931,1.6847579972818494
LiteLLM Router (live),tau2-bench (live),tau2-53,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00451231,53053.72697900748,1.085464988136664
LiteLLM Router (live),tau2-bench (live),tau2-54,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.0064399800000000005,55318.561634019716,1.2487150088418275
LiteLLM Router (live),tau2-bench (live),tau2-55,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00644165,62130.977079999866,1.0771249944809824
LiteLLM Router (live),tau2-bench (live),tau2-56,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.00535966,51278.692369000055,1.080343994544819
LiteLLM Router (live),tau2-bench (live),tau2-57,multi_turn_policy,0.25,0,cheap-small,1.0,False,False,True,False,0.0030738500000000004,31352.19896698254,1.1495839862618595
LiteLLM Router (live),tau2-bench (live),tau2-58,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.011753920000000001,87962.42220001295,1.9450880063232034
LiteLLM Router (live),tau2-bench (live),tau2-59,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00273931,33694.22817599843,1.9833770056720823
LiteLLM Router (live),tau2-bench (live),tau2-60,multi_turn_policy,0.85,0,cheap-small,1.0,False,True,True,True,0.0038025,40556.45121500129,1.8028859922196716
LiteLLM Router (live),tau2-bench (live),tau2-61,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0034092400000000004,34885.01619899762,1.7790469864849001
LiteLLM Router (live),tau2-bench (live),tau2-62,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.004235860000000001,43239.03659300413,2.009357005590573
LiteLLM Router (live),tau2-bench (live),tau2-63,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.006617239999999999,58974.535315996036,1.943897019373253
