router_name,benchmark_name,task_id,domain,difficulty,trial,selected_candidate,confidence,fallback_used,success,tool_call_required,tool_call_correct,cost_usd,latency_ms,router_decision_latency_ms
LiteLLM Router (live),tau2-bench (live),tau2-0,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00868559,69464.98738600349,1.4116899983491749
LiteLLM Router (live),tau2-bench (live),tau2-1,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00444174,40073.34856199304,2.0112139973207377
LiteLLM Router (live),tau2-bench (live),tau2-2,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.004936009999999999,47201.07552099944,1.1811680014943704
LiteLLM Router (live),tau2-bench (live),tau2-3,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.0060770600000000004,46099.12327699567,2.596767997602001
LiteLLM Router (live),tau2-bench (live),tau2-4,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.00498239,47741.13503200351,1.9330430004629306
LiteLLM Router (live),tau2-bench (live),tau2-5,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00622352,54025.84898999339,1.136338003561832
LiteLLM Router (live),tau2-bench (live),tau2-6,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.006733670000000001,50964.00405399618,1.1587170010898262
LiteLLM Router (live),tau2-bench (live),tau2-7,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00560047,50856.316096003866,1.9657579978229478
LiteLLM Router (live),tau2-bench (live),tau2-8,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0050620199999999995,49363.463408000825,1.084939001884777
LiteLLM Router (live),tau2-bench (live),tau2-9,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00567257,46491.99461600074,1.0776310009532608
LiteLLM Router (live),tau2-bench (live),tau2-10,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.005526959999999999,54171.871696999006,1.1025310013792478
LiteLLM Router (live),tau2-bench (live),tau2-11,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0048516900000000005,52800.95426199841,1.082573005987797
LiteLLM Router (live),tau2-bench (live),tau2-12,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00367431,36989.517095003976,1.8620600021677092
LiteLLM Router (live),tau2-bench (live),tau2-13,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00432723,42995.76188799983,1.8339009984629229
LiteLLM Router (live),tau2-bench (live),tau2-14,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0044259,37080.97331799945,1.6418829982285388
LiteLLM Router (live),tau2-bench (live),tau2-15,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.004763739999999999,48117.23956900096,1.9040940023842268
LiteLLM Router (live),tau2-bench (live),tau2-16,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.008085170000000001,69580.77569199668,1.084946998162195
LiteLLM Router (live),tau2-bench (live),tau2-17,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00237889,24823.086614000204,1.6079869965324178
LiteLLM Router (live),tau2-bench (live),tau2-18,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00472561,45568.31231900287,1.1170680008945055
LiteLLM Router (live),tau2-bench (live),tau2-19,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.0060066500000000005,55525.85486899625,1.8475070028216578
LiteLLM Router (live),tau2-bench (live),tau2-20,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.006063209999999999,54331.13818399579,1.8716880003921688
LiteLLM Router (live),tau2-bench (live),tau2-21,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.00366531,47239.06867400365,1.8779800011543557
LiteLLM Router (live),tau2-bench (live),tau2-22,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.006090250000000002,60420.455775005394,1.092229998903349
LiteLLM Router (live),tau2-bench (live),tau2-23,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00824495,69299.25821100187,1.8054109968943521
LiteLLM Router (live),tau2-bench (live),tau2-24,multi_turn_policy,0.25,0,cheap-small,1.0,False,False,True,False,0.00462691,51308.006587998534,1.6368810029234737
Aurelio Semantic Router (live),tau2-bench (live),tau2-0,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.237156,59317.09848299943,508.45596099679824
Aurelio Semantic Router (live),tau2-bench (live),tau2-1,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.23523,54613.32587999641,379.8087260001921
Aurelio Semantic Router (live),tau2-bench (live),tau2-2,multi_turn_policy,1.0,0,mid-general,0.0,True,False,True,False,0.229548,47949.046707995876,373.99112500133924
Aurelio Semantic Router (live),tau2-bench (live),tau2-3,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.25428,44659.084434999386,489.9296840012539
Aurelio Semantic Router (live),tau2-bench (live),tau2-4,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.295971,53162.79172599752,493.3358179987408
Aurelio Semantic Router (live),tau2-bench (live),tau2-5,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.33325799999999994,64445.367836000514,490.53096700663446
Aurelio Semantic Router (live),tau2-bench (live),tau2-6,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.303174,60952.86685100291,474.5818090013927
Aurelio Semantic Router (live),tau2-bench (live),tau2-7,multi_turn_policy,1.0,0,mid-general,0.0,True,True,True,True,0.30572699999999997,61835.455557993555,894.7579189989483
