router_name,benchmark_name,task_id,domain,difficulty,trial,selected_candidate,confidence,fallback_used,success,tool_call_required,tool_call_correct,cost_usd,latency_ms,router_decision_latency_ms
LiteLLM Router (live),tau2-bench (live),tau2-0,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0060066500000000005,55970.7447260007,1.3962410012027249
LiteLLM Router (live),tau2-bench (live),tau2-1,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.00355122,41237.74519899598,1.1843009997392073
LiteLLM Router (live),tau2-bench (live),tau2-2,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.004516630000000001,48554.21912699967,1.1583910018089227
LiteLLM Router (live),tau2-bench (live),tau2-3,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00499594,42998.85576000088,1.9779620051849633
LiteLLM Router (live),tau2-bench (live),tau2-4,multi_turn_policy,1.0,0,cheap-small,1.0,False,False,True,False,0.00457233,36972.35789900151,1.125101000070572
LiteLLM Router (live),tau2-bench (live),tau2-5,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.007072640000000001,69200.39065200399,1.9497709945426323
LiteLLM Router (live),tau2-bench (live),tau2-6,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00676549,62275.97872000479,1.707452000118792
LiteLLM Router (live),tau2-bench (live),tau2-7,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00696468,58332.79687600589,1.7753520005499013
LiteLLM Router (live),tau2-bench (live),tau2-8,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.0052597,55896.48143300292,1.0721209982875735
LiteLLM Router (live),tau2-bench (live),tau2-9,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00564067,52696.058494999306,1.0950210053124465
LiteLLM Router (live),tau2-bench (live),tau2-10,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00328201,32085.440613001992,1.6741919971536845
LiteLLM Router (live),tau2-bench (live),tau2-11,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00558868,46796.09632999927,1.435861995560117
LiteLLM Router (live),tau2-bench (live),tau2-12,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00416532,51704.5786910021,1.6443819986307062
LiteLLM Router (live),tau2-bench (live),tau2-13,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00408707,52288.630927003396,1.8031420040642843
LiteLLM Router (live),tau2-bench (live),tau2-14,multi_turn_policy,1.0,0,cheap-small,1.0,False,True,True,True,0.00282838,31686.11277900345,1.073290994099807
