router_name,benchmark_name,task_id,domain,difficulty,trial,selected_candidate,confidence,fallback_used,success,tool_call_required,tool_call_correct,cost_usd,latency_ms,router_decision_latency_ms
LiteLLM Router (live),WebArena (live),webarena-21,web_navigation,0.468,0,cheap-small,1.0,False,False,False,,0.0008474,36638.1876070227,1.7095789953600615
LiteLLM Router (live),WebArena (live),webarena-22,web_navigation,0.465,0,cheap-small,1.0,False,False,False,,0.00169125,68833.50845400128,1.155488978838548
LiteLLM Router (live),WebArena (live),webarena-23,web_navigation,0.474,0,cheap-small,1.0,False,False,False,,0.0008579,36017.5228099979,1.2276099878363311
LiteLLM Router (live),WebArena (live),webarena-24,web_navigation,0.466,0,cheap-small,1.0,False,True,False,,0.0007808,34304.35589599074,1.1393599852453915
LiteLLM Router (live),WebArena (live),webarena-25,web_navigation,0.469,0,cheap-small,1.0,False,False,False,,0.0008748,40575.85806498537,1.171190000604838
LiteLLM Router (live),WebArena (live),webarena-26,web_navigation,0.48,0,cheap-small,1.0,False,False,False,,0.0008756,39765.3563139902,2.150130021618679
LiteLLM Router (live),WebArena (live),webarena-44,web_navigation,0.418,0,cheap-small,1.0,False,True,False,,0.00087805,25756.15045800805,1.0891499987337738
LiteLLM Router (live),WebArena (live),webarena-45,web_navigation,0.437,0,cheap-small,1.0,False,False,False,,0.00371065,70149.4161990122,1.3091699802316723
LiteLLM Router (live),WebArena (live),webarena-46,web_navigation,0.437,0,cheap-small,1.0,False,False,False,,0.0048623,90922.4056789826,1.8779509991873056
LiteLLM Router (live),WebArena (live),webarena-47,web_navigation,0.52,0,cheap-small,1.0,False,False,False,,0.0006328,28710.52784801577,1.85003099613823
LiteLLM Router (live),WebArena (live),webarena-48,web_navigation,0.525,0,cheap-small,1.0,False,False,False,,0.0006332,28446.05399400461,1.8403409922029823
LiteLLM Router (live),WebArena (live),webarena-49,web_navigation,0.525,0,cheap-small,1.0,False,False,False,,0.0006332,28485.257620021,1.8253909947816285
LiteLLM Router (live),WebArena (live),webarena-50,web_navigation,0.519,0,cheap-small,1.0,False,False,False,,0.0006328,28859.49928101036,1.970821002032608
LiteLLM Router (live),WebArena (live),webarena-51,web_navigation,0.524,0,cheap-small,1.0,False,False,False,,0.0006332,28996.429869992426,1.0779710137285292
LiteLLM Router (live),WebArena (live),webarena-96,web_navigation,0.461,0,cheap-small,1.0,False,False,False,,0.0006256,28544.729313987773,1.810760993976146
LiteLLM Router (live),WebArena (live),webarena-102,web_navigation,0.512,0,cheap-small,1.0,False,False,False,,0.00179475,37146.01890800986,1.1094910150859505
LiteLLM Router (live),WebArena (live),webarena-103,web_navigation,0.506,0,cheap-small,1.0,False,False,False,,0.00633925,111165.11399697627,1.8040710128843784
LiteLLM Router (live),WebArena (live),webarena-104,web_navigation,0.501,0,cheap-small,1.0,False,False,False,,0.01461405,229534.95860798284,1.843620993895456
LiteLLM Router (live),WebArena (live),webarena-105,web_navigation,0.525,0,cheap-small,1.0,False,False,False,,0.0021046,40522.51883799909,1.1839710059575737
LiteLLM Router (live),WebArena (live),webarena-106,web_navigation,0.504,0,cheap-small,1.0,False,False,False,,0.000548,19548.404971021228,1.0981910163536668
LiteLLM Router (live),WebArena (live),webarena-117,web_navigation,0.46,0,cheap-small,1.0,False,False,False,,0.0006256,29599.51661201194,2.1029319905210286
LiteLLM Router (live),WebArena (live),webarena-118,web_navigation,0.479,0,cheap-small,1.0,False,False,False,,0.00203835,71512.98542099539,1.8722919921856371
LiteLLM Router (live),WebArena (live),webarena-124,web_navigation,0.468,0,cheap-small,1.0,False,False,False,,0.0016449,60156.94892901229,1.06434099143371
LiteLLM Router (live),WebArena (live),webarena-125,web_navigation,0.477,0,cheap-small,1.0,False,False,False,,0.00204015,82181.51174701052,1.769142021657899
LiteLLM Router (live),WebArena (live),webarena-126,web_navigation,0.47,0,cheap-small,1.0,False,False,False,,0.00244855,83408.33566698711,1.828331995056942
LiteLLM Router (live),WebArena (live),webarena-132,web_navigation,0.46,0,cheap-small,1.0,False,False,False,,0.00110475,31482.752968004206,1.0792810062412173
LiteLLM Router (live),WebArena (live),webarena-133,web_navigation,0.453,0,cheap-small,1.0,False,False,False,,0.00170135,45276.64088198799,1.8147819791920483
LiteLLM Router (live),WebArena (live),webarena-134,web_navigation,0.46,0,cheap-small,1.0,False,False,False,,0.00166175,43645.86742201936,2.00902100186795
LiteLLM Router (live),WebArena (live),webarena-135,web_navigation,0.469,0,cheap-small,1.0,False,False,False,,0.0035034,74669.04836898902,1.8216420139651743
LiteLLM Router (live),WebArena (live),webarena-136,web_navigation,0.474,0,cheap-small,1.0,False,False,False,,0.0017081499999999,44287.36137898522,1.1070309847127646
LiteLLM Router (live),WebArena (live),webarena-141,web_navigation,0.459,0,cheap-small,1.0,False,False,False,,0.0006256,28984.37204401125,1.81947200326249
LiteLLM Router (live),WebArena (live),webarena-142,web_navigation,0.469,0,cheap-small,1.0,False,False,False,,0.0006268,28973.29866499058,1.0656310187187046
LiteLLM Router (live),WebArena (live),webarena-143,web_navigation,0.461,0,cheap-small,1.0,False,False,False,,0.0006268,29562.5733800116,1.8908219935838133
LiteLLM Router (live),WebArena (live),webarena-144,web_navigation,0.473,0,cheap-small,1.0,False,False,False,,0.0006276,29187.039456999628,1.081691007129848
LiteLLM Router (live),WebArena (live),webarena-145,web_navigation,0.463,0,cheap-small,1.0,False,False,False,,0.000626,28759.836916986387,1.798951008822769
LiteLLM Router (live),WebArena (live),webarena-146,web_navigation,0.469,0,cheap-small,1.0,False,False,False,,0.00242255,81937.14282699511,1.7955820076167583
LiteLLM Router (live),WebArena (live),webarena-147,web_navigation,0.465,0,cheap-small,1.0,False,False,False,,0.0011262,38285.63949599629,1.8759859958663585
LiteLLM Router (live),WebArena (live),webarena-148,web_navigation,0.47,0,cheap-small,1.0,False,False,False,,0.0003878,25773.42014000169,1.056993001839146
LiteLLM Router (live),WebArena (live),webarena-149,web_navigation,0.473,0,cheap-small,1.0,False,False,False,,0.00079895,37043.38660198846,1.845405000494793
LiteLLM Router (live),WebArena (live),webarena-150,web_navigation,0.466,0,cheap-small,1.0,False,False,False,,0.0006264,29116.70828500064,1.053023006534204
LiteLLM Router (live),WebArena (live),webarena-156,web_navigation,0.438,0,cheap-small,1.0,False,False,False,,0.00302075,53982.85994201433,1.0526429978199303
LiteLLM Router (live),WebArena (live),webarena-158,web_navigation,0.504,0,cheap-small,1.0,False,False,False,,0.00120975,49274.81148700463,1.1543529981281608
LiteLLM Router (live),WebArena (live),webarena-159,web_navigation,0.504,0,cheap-small,1.0,False,False,False,,0.00120975,50196.36492501013,1.8151639960706236
LiteLLM Router (live),WebArena (live),webarena-160,web_navigation,0.503,0,cheap-small,1.0,False,False,False,,0.00243335,82407.76810701936,1.8249139830004424
LiteLLM Router (live),WebArena (live),webarena-161,web_navigation,0.504,0,cheap-small,1.0,False,False,False,,0.00331055,106152.58449901012,1.859694020822644
LiteLLM Router (live),WebArena (live),webarena-162,web_navigation,0.504,0,cheap-small,1.0,False,False,False,,0.00204635,75974.85742298886,1.8115630082320424
LiteLLM Router (live),WebArena (live),webarena-163,web_navigation,0.484,0,cheap-small,1.0,False,False,False,,0.00094095,39246.58795600408,1.8035329994745557
LiteLLM Router (live),WebArena (live),webarena-164,web_navigation,0.484,0,cheap-small,1.0,False,True,False,,0.00079965,35585.530263982946,1.0688519978430122
LiteLLM Router (live),WebArena (live),webarena-165,web_navigation,0.484,0,cheap-small,1.0,False,False,False,,0.001216,69997.09175698808,1.8251430010423064
LiteLLM Router (live),WebArena (live),webarena-166,web_navigation,0.484,0,cheap-small,1.0,False,True,False,,0.0007638,35589.42164000473,1.0620919929351658
LiteLLM Router (live),WebArena (live),webarena-167,web_navigation,0.484,0,cheap-small,1.0,False,False,False,,0.0011089,36298.51178100216,1.807403983548284
LiteLLM Router (live),WebArena (live),webarena-168,web_navigation,0.503,0,cheap-small,1.0,False,True,False,,0.00146865,34778.52635498857,1.9840229942929
LiteLLM Router (live),WebArena (live),webarena-169,web_navigation,0.498,0,cheap-small,1.0,False,False,False,,0.00411045,73593.2305699971,1.0683420114219189
LiteLLM Router (live),WebArena (live),webarena-170,web_navigation,0.499,0,cheap-small,1.0,False,False,False,,0.00150335,35260.1591690036,1.8012830114457756
LiteLLM Router (live),WebArena (live),webarena-171,web_navigation,0.501,0,cheap-small,1.0,False,False,False,,0.000548,19900.055932987016,1.313621993176639
LiteLLM Router (live),WebArena (live),webarena-172,web_navigation,0.492,0,cheap-small,1.0,False,False,False,,0.00146725,34537.543604004895,1.8390819896012545
LiteLLM Router (live),WebArena (live),webarena-173,web_navigation,0.592,0,cheap-small,1.0,False,False,False,,0.0057168,104402.03823099728,1.8783530103974044
LiteLLM Router (live),WebArena (live),webarena-174,web_navigation,0.593,0,cheap-small,1.0,False,False,False,,0.0029711,59345.64388100989,1.7960830009542406
LiteLLM Router (live),WebArena (live),webarena-175,web_navigation,0.596,0,cheap-small,1.0,False,False,False,,0.00288595,57840.246421983466,1.804152998374775
LiteLLM Router (live),WebArena (live),webarena-176,web_navigation,0.598,0,cheap-small,1.0,False,False,False,,0.0062596499999999,109737.32515898882,1.0830520186573267
LiteLLM Router (live),WebArena (live),webarena-177,web_navigation,0.602,0,cheap-small,1.0,False,False,False,,0.0037404,74620.02384799416,1.0837610170710832
LiteLLM Router (live),WebArena (live),webarena-178,web_navigation,0.582,0,cheap-small,1.0,False,False,False,,0.0097169499999999,212025.87852600848,1.7867920105345547
LiteLLM Router (live),WebArena (live),webarena-179,web_navigation,0.583,0,cheap-small,1.0,False,False,False,,0.00179335,40518.183864012826,1.862782984972
LiteLLM Router (live),WebArena (live),webarena-180,web_navigation,0.586,0,cheap-small,1.0,False,False,False,,0.00400675,98884.25683099194,1.7957420204766097
LiteLLM Router (live),WebArena (live),webarena-181,web_navigation,0.588,0,cheap-small,1.0,False,False,False,,0.00290355,65582.48404599726,1.9026620138902215
LiteLLM Router (live),WebArena (live),webarena-182,web_navigation,0.592,0,cheap-small,1.0,False,False,False,,0.00227155,52098.35830799421,1.7923220002558082
LiteLLM Router (live),WebArena (live),webarena-188,web_navigation,0.452,0,cheap-small,1.0,False,False,False,,0.0006244,31365.70834199665,1.8128420051652936
LiteLLM Router (live),WebArena (live),webarena-189,web_navigation,0.45,0,cheap-small,1.0,False,False,False,,0.0006244,32370.977434009543,2.664344006916508
LiteLLM Router (live),WebArena (live),webarena-190,web_navigation,0.451,0,cheap-small,1.0,False,False,False,,0.0006244,29455.926455004374,1.7967929888982326
LiteLLM Router (live),WebArena (live),webarena-191,web_navigation,0.453,0,cheap-small,1.0,False,True,False,,0.0006244,30374.94649400469,1.8003919976763427
LiteLLM Router (live),WebArena (live),webarena-192,web_navigation,0.456,0,cheap-small,1.0,False,False,False,,0.0006256,30882.344790996285,1.667731994530186
LiteLLM Router (live),WebArena (live),webarena-205,web_navigation,0.445,0,cheap-small,1.0,False,False,False,,0.0040184,107696.01986301132,1.0907709947787223
LiteLLM Router (live),WebArena (live),webarena-206,web_navigation,0.438,0,cheap-small,1.0,False,False,False,,0.0045651,106351.79971798787,1.083550014300272
LiteLLM Router (live),WebArena (live),webarena-207,web_navigation,0.463,0,cheap-small,1.0,False,False,False,,0.00142785,43285.401609988185,1.8216850003227592
LiteLLM Router (live),WebArena (live),webarena-225,web_navigation,0.446,0,cheap-small,1.0,False,True,False,,0.0016317,61244.0157480014,1.8250339780934155
LiteLLM Router (live),WebArena (live),webarena-226,web_navigation,0.455,0,cheap-small,1.0,False,False,False,,0.00203235,73857.36963999807,1.82340299943462
LiteLLM Router (live),WebArena (live),webarena-227,web_navigation,0.45,0,cheap-small,1.0,False,False,False,,0.00121115,50800.32173299696,1.1143469891976563
